,Word,Frequency
562,know,6
563,similar,2
564,spring,2
565,roll,2
566,done,3
567,"before,",2
568,fact,2
569,its,5
570,squarish,2
571,size,3
572,has,13
573,shoot,2
574,recipe.,5
575,Comment,2
576,down,4
577,below,2
578,childhood,2
579,lets,2
580,see,5
581,if,11
582,recreate,4
583,favourite,8
584,next!,2
585,Cheers,2
586,guys.,2
587,Have,2
588,fun,3
589,:)...#recipe,2
590,#streetfood,3
591,#comfortfood3dkavyasadane001U,1
592,awsm,1
593,sir...,1
594,...I,1
595,home...,1
596,yummy!😘👌👌👌3d2,1
597,(1)vaishali_patel810Wow...,1
598,what,4
599,Sanjyot..!!!!😍3d2,1
600,(1)drriddhishahHi,1
601,thanks,1
602,paneer,7
603,chilly,2
604,sizzler,1
605,recipe3d3,1
606,(1)aashlesha_godeI,1
607,got,4
608,them,3
609,farsan,1
610,shop.,1
611,actually,4
612,searching,1
613,Thanks👍3d3,1
614,(1)asma_chisti85😋😋mouth,1
615,watering..........loved,1
616,describe,1
617,well......congooo3d3,1
618,(1)snehasanjayparmarChef,1
619,isme,1
620,boli,1
621,noddels,1
622,add,2
623,kar,4
624,skte,1
625,hai?!?!3d3,1
626,(1)sneh_as_harmAlways,1
627,loved,5
628,recipes❤️3d1,1
629,(1)rub6711👌👌too,1
630,good3d2,1
631,(1)_brindha_rajaram_Brilliant,1
632,presentation,3
633,❤️🙌🔥3d2,1
634,(1)foodcomics_Droooolinnggg😍🔥🔥3d2,1
635,(1)inaaya919omg,1
636,today,1
637,..amazing,1
638,fold,1
639,pattis,1
640,awesome,2
641,😊😊3d2,1
642,(1)preeti.kuverjiMan,1
643,U,1
644,chef,2
645,!,2
646,Love,3
647,everything,2
648,make3d2,1
649,(1)3,1
650,othersyourfoodlabVerifiedKhaman,1
651,Dhokla,1
652,Soft,1
653,Spongy,1
654,twist.2.,1
655,#CookWithATwist3.,1
656,@MorphyRichardsindia,1
657,2020!So,1
658,apply*...#stayhome,1
659,#CookWithATwist4dnot_activex_19👍👍👌👌,1
660,good,14
661,happy,4
662,cooking3d3,1
663,(2)kishmish41Blessings,1
664,feed,1
665,fav,2
666,dish😊.,1
667,Glad,1
668,giving,2
669,"recipes,",1
670,such,4
671,feeling,1
672,Cooking,1
673,videos.👌3d2,1
674,(3)nihus_irresistablesSir,1
675,participate,2
676,only,7
677,instagram,1
678,facebook,1
679,required?4dReplyView,1
680,(3)n.pantzLove,1
681,More,1
682,convenient,1
683,folks,1
684,microwave!4d1,1
685,(2)harshita7911Alternative,1
686,critic,1
687,acid,3
688,please4dReplyView,1
689,(3)shaniyavikasWow,1
690,sanjyot,1
691,followed,1
692,insta,2
693,",fb",1
694,superb,1
695,much,5
696,things,5
697,required,1
698,definitely,3
699,😊4d1,1
700,(2)kirandeep360Even,1
701,cook,5
702,dholka,1
703,too...but,1
704,after,5
705,looking,1
706,playing,1
707,around...anytging,1
708,cooked,2
709,become,3
710,must,1
711,me...4dReplyView,1
712,(1)my_yellow_submarineThank,1
713,cooking,1
714,easy-breezy,1
715,steps!,1
716,it!!4d1,1
717,(2)nandinibhallaapjCan,1
718,lemon,1
719,citric,1
720,powder,4
721,?,2
722,Citric,1
723,usually,1
724,available,2
725,indian,2
726,homes4dReplyView,1
727,(1)the_wildrose_195Following,1
728,almost,1
729,everywhere,2
730,let,1
731,tell,2
732,craft,1
733,another,2
734,level,1
735,👌🏻,1
736,❤️4d1,1
737,(1)mestrirashmiLovely👍keep,1
738,work👍👍big,1
739,fan🤩4d1,1
740,(1)bhavishreeskitchenFinally,1
741,heard,1
742,voice😀4d1,1
743,(1)4,1
744,Pocket,1
745,Samosa,1
746,Check,2
747,out!,2
748,#samosa,1
749,#samosalover,1
750,#chinese,1
751,#foodstagram,2
752,#mumbaifood,1
753,#mumbaistreetfood,2
754,#indianfood,1
755,#sanjyotkeer5dangshudibmI,1
756,don't,2
757,Name,1
758,Indian,3
759,should,9
760,twist.5d15,1
761,(3)_ritiktanwar2301_India,1
762,continuously,1
763,banning,1
764,then,5
765,trying,1
766,silly,1
767,things.,2
768,Even,1
769,food,9
770,wtf😠5d7,1
771,(5)aditya.__.jhaPlease,1
772,chinese,1
773,🙏🙏🙏5d8,1
774,(2)iot108Don't,1
775,word,2
776,🙄🙄5d5,1
777,(2)meetapathakLooks,1
778,name,3
779,dun,1
780,China,1
781,pls...,1
782,rename,1
783,pls5d5,1
784,likesReplyiamanubhav_30Boycott,1
785,China😂5d5,1
786,likesReplyrupali.sethY,1
787,chef's,1
788,samosa?5d4,1
789,likesReplydakshakhatlawalaExcellent5d2,1
790,likesReplynilam_rana24🤤🤤5d2,1
791,likesReplymallika_singh_fan_club❤️5d2,1
792,likesReplycosmopolite_cook👌👌👌5d2,1
793,likesReplydakshakhatlawalaI,1
794,want,3
795,recip5d2,1
796,likesReply5,2
797,thecrazyindianfoodie,1
798,othersyourfoodlabVerifiedDhaba,2
799,Paneer,3
800,Do,3
801,Pyaza,2
802,@sanjyotkeer....I,1
803,dhaba,2
804,turned,3
805,super,4
806,delicious!,4
807,Pair,2
808,garlic,2
809,tandoori,5
810,roti,4
811,epic,2
812,recipe!And,2
813,yes,3
814,wondering,2
815,why,3
816,called,3
817,“Do,2
818,pyaaza”,2
819,when,3
820,onions,4
821,"used,",2
822,added,2
823,two,3
824,stages,2
825,gives,3
826,unique,3
827,characteristic!,2
828,Enjoy,3
829,Cheers!...#recipe,1
830,#comfortfood,2
831,#indiancuisine5ddey_preranaNot,1
832,done!,1
833,can't,3
834,torture,1
835,😭😭5d11,1
836,(2)saltsugarnspiceWhat,1
837,equipment,1
838,turning,1
839,frying5d8,1
840,(1)roli_arianVry,1
841,nive,1
842,recipe...,1
843,kind,3
844,utensils,1
845,dishes....5d6,1
846,(3)dimplekohli88Mouth,1
847,watering😋😋😍😛5d6,1
848,likesReplypriyamodani_zanwarLooks,1
849,delicious...,1
850,try5d4,1
851,likesReplycuty_prityMouth,1
852,watering😋😋😋😋5d3,1
853,likesReplyshamli302🤤🤤5d3,1
854,likesReplypritamkoley2011Yummy😍😍😍😍5d3,1
855,likesReplytrishalasethHi,1
856,shallow,1
857,fry,1
858,instead,5
859,fresh?,1
860,found,1
861,gets,1
862,chewy,1
863,upon,1
864,"frying,",1
865,specially,1
866,low,2
867,fat,1
868,paneer5d1,1
869,(1)heena_slinkyThis,1
870,world!,1
871,👌🏽👌🏽5d2,1
872,likesReplykavya_sharma229Yummy,1
873,😍😋😋5d2,1
874,likesReplyv_s_foodsIt’s,1
875,tempting5d2,1
876,abimilano,1
877,Cheers!...#recipeoftheday,1
878,#paneer,1
879,#paneerrecipes,1
880,#paneerlove,1
881,#foodporn,1
882,#foodography,1
883,#dhabastyle,1
884,#dhabafood,1
885,#sanjyotkeer6dsuchita.agRecipe,1
886,link,1
887,plss6d1,1
888,(2)afoodexpeditionDANG!!!!,1
889,heavenly,1
890,😋6d1,1
891,(1)tusharghateItni,1
892,sabzi,1
893,kon,1
894,khata,1
895,hai,11
896,Sirji??6dReplyView,1
897,(1)neetazs79I,1
898,vegetarian,2
899,recipes...,1
900,Keep,2
901,posting..,1
902,Txz6d1,1
903,(1)juhi_gupta30Your,1
904,awesome...,1
905,Tried,1
906,lababdar...,1
907,Turned,1
908,tasty6d1,1
909,(1)pharma_cuisineeUffff....,1
910,🙈🙈🙈,1
911,Want,1
912,now😍..,1
913,soo,2
914,yummm🤤🤤6dReplyView,1
915,(1)thequintessentialfoodieeNeed,1
916,asap6d1,1
917,(1)rajithanarayanaIts,1
918,watering,1
919,recipe.....😍❤️😋😋😋🤤🤤,1
920,nice,3
921,given,1
922,appears....I,1
923,it....i6d1,1
924,(1)anita_anni04Pls,1
925,video6d1,1
926,(2)accidental_cook20Chef,1
927,beautiful,2
928,believe,2
929,anything6d2,1
930,(2)helloloveportionDefinitely,1
931,Thankyou,1
932,😍❤️6d2,1
933,(1)svarsha_karthik2020Super,1
934,😋😋😋,1
935,eyes😍😍😍6d3,1
936,(1)6,1
937,othersyourfoodlabVerifiedStir,1
938,Fried,2
939,Veggies,1
940,Brown,1
941,Rice,1
942,@sanjyotkeer,1
943,.....#recipe,1
944,#comfortfood1wdamanjkcPlease,1
945,share,1
946,few,2
947,healthy,7
948,☺️☺️1w3,1
949,(5)jyotivijan53Surely,1
950,😋1w3,1
951,likesReplyvlogsrowdy😍😍1w3,1
952,likesReply_cupid_designerIt,1
953,yummy🤤1w3,1
954,likesReplyuzma6699Hey,1
955,....how,1
956,bought,1
957,brown,1
958,rice,1
959,yippee...let's,1
960,dinner,3
961,🍽,1
962,😋,1
963,👏1w2,1
964,likesReplyvishwaksen07Binod1w2,1
965,likesReplycooketarian5This,1
966,stunning❤️🤤1w2,1
967,likesReplyhetal.haria.39😍🤩🤩1w1,1
968,likeReplyanuchibiTerrific,1
969,supreme,1
970,dishes👌👌👌👍1w1,1
971,likeReplyvidhi_punjabiWow,1
972,❤️❤️❤️,1
973,You're,1
974,brilliant1w1,1
975,likeReplyfab_000013Sir,1
976,seriously,1
977,excellent,2
978,cook😍😍1w1,1
979,likeReplysamirsri👏👏1w1,1
980,likeReply7,3
981,othersyourfoodlabVerifiedPaneer,1
982,Tikka,2
983,Momo,1
984,@sanjyotkeer....Momos,1
985,staple,1
986,blows,1
987,mind,3
988,varieties!,1
989,My,1
990,though,1
991,basic,4
992,chicken,3
993,momo,4
994,chutney.,1
995,inspiration,1
996,marinating,1
997,Momos,2
998,marinade,1
999,tandoor.,1
1000,lil,2
1001,different,1
1002,smoked,1
1003,tikka,1
1004,filling,2
1005,inside,3
1006,steamed.,1
1007,included,1
1008,along,1
1009,rains!,1
1010,Cheers!....#recipe,1
1011,#streetfood1wthe_charankamalyour,1
1012,recipies,1
1013,paaji,1
1014,🔥1w5,1
1015,(1)shamaa_.lyNon,1
1016,vage,1
1017,momos,1
1018,please1w6,1
1019,(1)mishtimeyAahmazing👌1w3,1
1020,(1)mohit.ch0011Best,1
1021,Best,1
1022,Clear,1
1023,Easy,1
1024,follow,5
1025,Beautiful,1
1026,studio,1
1027,Very,2
